2020-07-28,372,5.12a,beta,,,,"So awesome. I pulled the crux on the first try! But that was after hanging. I need to REALLY take advantage of the slab rest and rest before the crux. I think this one will go, it is really just a matter of having the draws on and being fresh enough for a real go",,1
2020-07-28,372,5.12a,beta,,,,Felt awesome to have the draws on. Definitely pumped though. Next time I am going to hang my way up to get the draws on and then hopefully be fresh for a true attempt,,1
2020-07-31,160,5.9,flash,,,,"Tricky start, but fun warmup",,1
2020-07-31,171,5.12a,1 fall,TRUE,,,So close!!! I felt amazing on this go. I climbed smoothly and rested as much as I could. It really just came down to endurance. I need to just take a huge rest before the 1st crux and then keep my head in until the end. It will go very soon,,1
2020-07-31,380,5.10b,flash,,,,Really fun climb. Great warmup and enjoyable route,,1
2020-08-02,156,5.9,flash,,,,Great route (all of them are),,1
2020-08-02,156,5.9,flash,,,,Great route (all of them are),,1
2020-08-02,192,5.12a,beta,TRUE,,,"INCREDIBLE. Freaking loved this route, especially with the permadraws. Got to the chains but too pumped to let go and clip lol. This one will go very soon",,1
2020-08-02,359,5.11a,flash,,,,Always amazing. Hope to do this one every single time,,1
2020-08-02,378,5.9,flash,,,,Another great route,,1
2020-08-07,292,5.11b,beta,,,,"Not an ideal warmup, but a truly awesome climb. Once I figured out the crux it was so much fun to the top",,1
2020-08-07,309,5.10a,flash,,,,Loved this one. It had some really fun moves and was very cruisy,,1
2020-08-07,309,5.10a,flash,,,,Did it again!,,1
2020-08-07,381,5.9,flash,,,,Varied and fun climbing,,1
2020-08-07,382,5.10b,flash,,,,"Tricky start, but fun route",,1
2020-08-08,163,5.8,flash,,,,Great warmup with a few heady sections,,1
2020-08-08,346,5.11a,1 fall,,,,Got a little tripped up in one section. Awesome route,,1
2020-08-08,176,5.12a,beta,,,,Great to work out a bit of beta. Incredible climb,,1
2020-08-08,176,5.12a,redpoint,,,,SENT THE ROUTE!! I climbed well and felt great. This is definitely in my comfort zone. Freaking awesome climb,,1
2020-08-08,346,5.11a,redpoint,,,,Wanted to get up this one clean. Really a fun climb all the way to the top. Incredible views,,1
2020-08-11,304,5.10c,flash,,,,"Had a bit of difficulty with the start (crux for sure), such a great warmup",,1
2020-08-11,250,5.11d,redpoint,,,,SENT THIS ONE FINALLY!! Found some new beta out right at the top and it unlocked the crux clip for me (I hope that is still considered on route),,1
2020-08-11,250,5.11d,redpoint,,,,Might as well do it again!,,1
2020-08-15,322,5.10a,flash,,,,Great warmup with some fun exposure,,1
2020-08-15,302,5.10c,flash,,,,INCREDIBLE route and lead,,1
2020-08-15,210,5.12c,beta,,,,Fun to get on this and try out the roof crux start,,1
2020-08-15,210,5.12c,beta,,,,"Jugged through the roof and had an awesome time on the technical face above, excellent",,1
2020-08-15,264,5.11c,beta,,,,Awesome route with huge moves. Need to know how to set up for the throws,,1
2020-08-15,180,5.12a,beta,TRUE,,,Another super fun climb - overhung arete - right in the zone that I am trying to push myself into,,1
2020-08-15,264,5.11c,2 falls,,,,Definitely want to get this one next time and get on when I'm a bit more fresh,,1
2020-08-16,206,5.12b,beta,TRUE,,,"Felt pretty strong on the start, but man the cruxes are tough with that pump",,1
2020-08-16,206,5.12b,beta,TRUE,,,"More pumped this time, but still had a great time working through the moves more",,1
2020-08-22,187,5.12a,beta,,,,"Really unique, cool and hard climb. Not sure if this is in my reach right now, but man was this a unique and fun route",,1
2020-08-22,175,5.12a,beta,,,,"Got my butt kicked on this one, but it was really fun to work the moves. Such unique climbing on amazing rock",,1
2020-08-22,331,5.10d,1 fall,,,,Great climb. Will always enjoy this one,,1
2020-08-23,289,5.11b,flash,,,,Amazing climb. Fun slab leads to some great roof moves and then a bit more tricky climbing to the anchor. Just so good,,1
2020-08-23,192,5.12a,beta,TRUE,,,"So freaking awesome. I will get this one soon, just need a little more endurance and to really focus on my footwork at the top",,1
2020-08-23,359,5.11a,flash,,,,Still my favorite 11a of all time. So great,,1
2020-08-23,359,5.11a,flash,,,,Still my favorite 11a of all time. So great,,1
2020-08-23,378,5.9,flash,,,,Great warmup,,1
2020-08-30,322,5.10a,flash,,,,Great and fun warmup,,1
2020-08-30,325,5.10a,flash,,,,Another thoughtful warmup,,1
2020-08-30,334,5.10d,flash,,,,"Pretty stout, fun route",,1
2020-08-30,264,5.11c,2 falls,,,,Needed to dial in the beta a little,,1
2020-08-30,264,5.11c,redpoint,,,,Sent the route! This really is an awesome climb,,1
2020-08-30,270,5.11a/b,flash,,,,Short and fun slab climbing,,1
2020-08-30,180,5.12a,1 fall,TRUE,,,Almost had it!! Foot slipped transitioning to the jug,,1
2020-08-30,180,5.12a,2 falls,TRUE,,,Didn't have the explosiveness or strength I needed - will be back for this one soon,,1
2020-08-30,320,5.10a,1 fall,,,,"Really pumpy for a 10a, but such a freaking cool route. I would love to do this one again",,1
2020-09-04,295,5.10b/c,flash,,,,"Great, fun warmup",,1
2020-09-04,201,5.12b,beta,,,,"Cool route, but not really what I was going for. Campus moves are not my style ATM, but maybe someday!",,1
2020-09-04,191,5.12a,beta,,,,"Super cool route, but pretty slick and gross at the bottom",,1
2020-09-04,361,5.11a,1 fall,,,,Interesting climb,,1
2020-09-04,172,5.12a,2 falls,TRUE,,,100 STARS!! This route is straight up amazing. Cant wait to go back,,1
2020-09-05,150,5.9,flash,,,,CAUGHT THE ADVENTURE BUG. Awesome chimney climb. Need to do more,,1
2020-09-05,188,5.11b,1 fall,,,,So close! This one was so freaking great. Love doing battle on the rock,,1
2020-09-06,291,5.11b,2 falls,,,,"Stout 11b, but would be much better with beta. FUN route",,1
2020-09-06,203,5.12b,beta,TRUE,,,"This was tough today, but still had fun and worked the moves. I think I have the sequence for the crux",,1
2020-09-06,317,5.10a,flash,,,,Super fun climb,,1
2020-09-18,157,5.9,flash,,,,"Can definitely be a heady lead, but man is this climb incredible. For so many reasons",,1
2020-09-18,380,5.10b,flash,,,,Really great route. Just love this place,,1
2020-09-18,380,5.10b,flash,,,,Really great route. Just love this place,,1
2020-09-19,314,5.10a,flash,,,,Great warmup,,1
2020-09-19,337,5.10d,flash,,,,Awesome slab moves at the top. Felt strong,,1
2020-09-19,197,5.12b,beta,,,,Truly awesome route. Powerful start and then strong technical face and another techincal move to pull over the bulge and cruise to the anchor. Five stars for sure,,1
2020-09-19,197,5.12b,2 falls,,,,Cant wait to get back to this one!! I know that it will go soon. Just need to have my fresh power and have my beta dialed in. Still need to work out a bit in the middle section,,1
2020-09-19,271,5.11a/b,1 fall,,,,So close to the send! This is totally my kind of route. Heady and powerful slab climbing with incredible movement and fun body position. Cant wait to get on this again,,1
2020-09-20,156,5.9,flash,,,,Wonderful climb. Rock is incredible,,1
2020-09-20,359,5.11a,flash,,,,Love it so much every time,,1
2020-09-20,192,5.12a,beta,TRUE,,,Climbed well but couldn't clip the chains,,1
2020-09-20,156,5.9,flash,,,,Keeping warm while resting for another attempt on the Gatekeeper,,1
2020-09-20,192,5.12a,1 fall,TRUE,,,SO CLOSE. I got to the chains and just couldn't let go with either hand. I am going to get this soon. It will come if I have the beta dialed and climb efficiently,,1
2020-09-20,350,5.11a,flash,,,,Another amazing climb. Very fun roof,,1
2020-09-26,367,5.10b/c,flash,,,,Always so much fun,,1
2020-09-26,367,5.10b/c,flash,,,,Always so much fun,,1
2020-09-26,372,5.12a,beta,,,,Worked the moves and got super pumped setting the draws,,1
2020-09-26,372,5.12a,redpoint,,,,"SENT THE ROUTE!!! I felt amazing on this climb. Probably some of the best climbing I have ever done. Efficient, precise, kept my breathing under control, rested appropriately and kept my head in it. I felt like crying at the top I was so freaking happy",,1
2020-09-27,279,5.11b,1 fall,,,,Such a cool climb. Pump builds quickly,,1
2020-09-27,279,5.11b,redpoint,,,,Climbed very quickly and flew up it,,1
2020-09-27,285,5.11b,beta,,,,Great route! Want to go back,,1
2020-09-30,323,5.10a,flash,,,,Always a fun warmup,,1
2020-09-30,178,5.12a,beta,,,,Climbed up until the crux to rescue a draw for another party,,1
2020-10-03,290,5.11b,beta,,,,"Tough start! Really great route tho, and the crux up top is fun and tricky",,1
2020-10-03,197,5.12b,2 falls,,,,"Felt strong, but did not climb efficiently. My head wasn't in it to keep going at it with another go. Decided to wait until next time",,1
2020-10-03,173,5.12a,beta,,,,Freaking amazing route. The quartz holds are so much fun and the top crux is unique and engaging. Loved this one!,,1
2020-10-07,304,5.10c,flash,,,,Bit of a burly start and then great headwall,,1
2020-10-07,323,5.10a,flash,,,,Always good fun,,1
2020-10-07,347,5.11a,flash,,,,"Really good route. Still felt soft for me, but I think it is really height dependent",,1
2020-10-10,197,5.12b,beta,,,,Setting the draws and working the moves,,1
2020-10-10,197,5.12b,redpoint,,,,SENT THE ROUTE!! FIRST 12B. I climbed this so freaking well. It is an incredible feeling when everything comes together and you move almost effortlessly through the moves. I just love it. This sport is the absolute best,,1
2020-10-10,173,5.12a,beta,,,,Such a great and fun route,,1
2020-10-10,173,5.12a,2 falls,,,,"Very close, but was still gaining some efficiency",,1
2020-10-10,173,5.12a,1 fall,,,,Next time! I freaking love this route. I think I would have had it if my foot didn’t slip,,1
2020-10-10,230,5.12c/d,beta,,,,"Just wanted to get on and feel out the moves. Really excellent, just not in my motivation zone currently. Really stoked to see Tuck so close to the send!",,1
2020-10-16,193,5.12a,redpoint,,,,This felt amazing!! So much stronger and better than I was in the spring,,1
2020-10-17,352,5.11a,flash,,,,Really fun route with bulges and roofs - bomber holds and a no-hands rest,,1
2020-10-24,280,5.11b,redpoint,,,,"Freaking awesome climb. So much fun, would certainly do again",,1
2020-10-30,267,5.11a/b,onsight,,,,Really really good climb. Fun and varied,,1
2020-10-30,185,5.12a,beta,TRUE,,,"Hardest 12a ever, but god damn was this route fun! Will be back for sure",,1
2020-10-31,184,5.12a,beta,TRUE,,,Great climbing. Looking forward to putting some more time on this one,,1
2020-11-12,218,5.11a,flash,,,,Incredible climb. I felt really strong. This is the one we tried the first time we were there,,1
2020-11-13,223,5.11c,beta,TRUE,,,"Didn't quite get it, but I had a really strong go and then didn't feel very strong on my second try. Will absolutely get on this again sometime",,1
2020-11-13,216,5.10c,flash,,,,Really great climb. All of the 10's at the Gallery and Wall of Confusion were top notch,,1
2020-11-14,222,5.11c,beta,,,,"Had a ton of fun on this one. Not sure if I'll be back, but I had fun on the moves and enjoyed every bit of it",,1
2020-12-31,389,5.10c,redpoint,,,,"Such a great climb for the grade. Pretty unique movement on the crux headwall. Great liebacks with thoughtful, karate-like feet",,1
2020-12-31,394,5.10b,flash,,,,Short with fun moves. Great to climb w/ Leah. I felt really secure with her belaying me,,1
